league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,-0.5033657,-0.09013286,-0.46486875,0.014671915,-0.68601465,-0.183196,0.9014804,-0.49213699,-0.18505596,-0.52997977
ENG-Premier League,2024 - 2025,Crystal Palace,Will Hughes,ENG,MF,29,1995,-0.5841374,-0.19491257,-0.51135206,-0.21285321,-0.58932966,0.25843665,0.8021726,0.08795365,0.09095812,-0.56961906
ENG-Premier League,2024 - 2025,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,-0.5386463,-0.05519854,-0.36514354,-0.41786167,-0.4414231,-0.07871095,0.77065563,0.09273402,0.017578997,-0.5552031
ENG-Premier League,2024 - 2025,Everton,Ashley Young,ENG,DF,39,1985,-0.4998599,-0.08521591,-0.66665894,0.018766427,-0.32211816,0.3154471,0.7986575,-0.07579937,0.21105368,-0.5379793
ENG-Premier League,2024 - 2025,Everton,Beto,GNB,FW,26,1998,-0.6032634,-0.475556,0.23214969,-0.5286908,0.034889016,-0.08836898,0.846573,0.23032814,0.3227263,-0.81615883
ENG-Premier League,2024 - 2025,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,-0.6226004,-0.51557595,0.04768068,-0.45058233,-0.3496737,-0.2711414,0.7476517,0.14984673,0.45346108,-0.8155708
ENG-Premier League,2024 - 2025,Everton,Dwight McNeil,ENG,"MF,FW",24,1999,-0.13561796,-0.0881828,-0.38210487,0.14235434,-0.114019975,0.31492817,0.8726638,0.0778251,0.50243604,-0.56040186
ENG-Premier League,2024 - 2025,Everton,Iliman Ndiaye,SEN,FW,24,2000,-0.51168084,0.41306874,-0.35052654,-0.37122586,-0.23447807,-0.02592216,0.5516497,-0.021031184,0.010426989,-0.7232704
ENG-Premier League,2024 - 2025,Everton,Jack Harrison,ENG,FW,27,1996,-0.73120207,0.011015808,-0.24985746,-0.12323838,-0.56024563,-0.015948474,0.84161896,-0.2631995,0.28906518,-0.6210326
ENG-Premier League,2024 - 2025,Everton,Jake O'Brien,IRL,DF,23,2001,-0.6650224,-0.42172042,-0.5718413,-0.3984139,0.15814094,-0.08025071,0.90417755,-0.07188708,0.29595712,-0.40166318
ENG-Premier League,2024 - 2025,Everton,James Garner,ENG,"MF,DF",23,2001,-0.69302,-0.256577,-0.55186135,-0.3185823,-0.481931,0.18545336,0.8750398,0.05018967,0.30323932,-0.53790927
