league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2024 - 2025,Tottenham,Radu Drăgușin,ROU,22,2002,Right,CB,10,CB
ENG-Premier League,2024 - 2025,Tottenham,Rodrigo Bentancur,URU,27,1997,Right,CDM,5,CDM
ENG-Premier League,2024 - 2025,Tottenham,Yves Bissouma,MLI,27,1996,Right,CDM,8,CB
ENG-Premier League,2024 - 2025,West Ham,Aaron Wan-Bissaka,COD,26,1997,Right,RB,13,LB
ENG-Premier League,2024 - 2025,West Ham,Carlos Soler,ESP,27,1997,Right,CM,14,CM
ENG-Premier League,2024 - 2025,West Ham,Edson Álvarez,MEX,26,1997,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,West Ham,Guido Rodríguez,ARG,30,1994,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,West Ham,James Ward-Prowse,ENG,29,1994,Right,CM,14,CM
ENG-Premier League,2024 - 2025,West Ham,Jarrod Bowen,ENG,27,1996,Left,RM,11,ST
ENG-Premier League,2024 - 2025,West Ham,Konstantinos Mavropanos,GRE,26,1997,Right,CB,4,CB
ENG-Premier League,2024 - 2025,West Ham,Lucas Paquetá,BRA,26,1997,Left,CM,2,CDM
ENG-Premier League,2024 - 2025,West Ham,Mohammed Kudus,GHA,23,2000,Left,RW,0,RM
ENG-Premier League,2024 - 2025,West Ham,Tomáš Souček,CZE,29,1995,Right,CDM,17,ST
ENG-Premier League,2024 - 2025,West Ham,Vladimír Coufal,CZE,31,1992,Right,RB,14,CM
ENG-Premier League,2024 - 2025,Wolves,André,BRA,23,2001,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Wolves,Emmanuel Agbadou,CIV,27,1997,Right,CB,10,CB
ENG-Premier League,2024 - 2025,Wolves,Gonçalo Guedes,POR,27,1996,Right,ST,12,ST
ENG-Premier League,2024 - 2025,Wolves,Jean-Ricner Bellegarde,HAI,26,1998,Right,CAM,16,RM
ENG-Premier League,2024 - 2025,Wolves,João Gomes,BRA,23,2001,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Wolves,Jørgen Strand Larsen,NOR,24,2000,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Wolves,Mario Lemina,GAB,30,1993,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Wolves,Marshall Munetsi,ZIM,28,1996,Right,CM,12,ST
